"date","hour","total_trips"
2024-03-07,6,252
2024-03-07,7,600
2024-03-07,8,1319
2024-03-07,9,771
2024-03-07,10,501
2024-03-07,11,570
2024-03-07,12,705
2024-03-07,13,637
2024-03-07,14,695
2024-03-07,15,817
2024-03-07,16,1138
2024-03-07,17,1706
2024-03-07,18,1372
2024-03-07,19,864
2024-03-07,20,551
2024-03-07,21,470
2024-03-07,22,356
2024-03-07,23,253
2024-03-08,0,160
2024-03-08,1,72
2024-03-08,2,41
2024-03-08,3,28
2024-03-08,4,32
2024-03-08,5,87
2024-03-08,6,228
2024-03-08,7,513
2024-03-08,8,879
2024-03-08,9,663
2024-03-08,10,483
2024-03-08,11,527
2024-03-08,12,718
2024-03-08,13,708
2024-03-08,14,708
2024-03-08,15,817
2024-03-08,16,1004
2024-03-08,17,1246
2024-03-08,18,1054
2024-03-08,19,690
2024-03-08,20,530
2024-03-08,21,403
2024-03-08,22,311
2024-03-08,23,220
2024-03-09,0,174
2024-03-09,1,109
2024-03-09,2,92
2024-03-09,3,27
2024-03-09,4,19
2024-03-09,5,9
2024-03-09,6,20
2024-03-09,7,64
2024-03-09,8,145
2024-03-09,9,176
2024-03-09,10,286
2024-03-09,11,352
2024-03-09,12,353
2024-03-09,13,428
2024-03-09,14,431
2024-03-09,15,529
2024-03-09,16,658
2024-03-09,17,636
2024-03-09,18,579
2024-03-09,19,490
2024-03-09,20,402
2024-03-09,21,336
2024-03-09,22,245
2024-03-09,23,236
2024-03-10,0,183
2024-03-10,1,190
2024-03-10,3,156
2024-03-10,4,78
2024-03-10,5,47
2024-03-10,6,55
2024-03-10,7,82
2024-03-10,8,141
2024-03-10,9,248
2024-03-10,10,371
2024-03-10,11,438
2024-03-10,12,407
2024-03-10,13,421
2024-03-10,14,424
2024-03-10,15,458
2024-03-10,16,407
2024-03-10,17,411
2024-03-10,18,354
2024-03-10,19,312
2024-03-10,20,242
2024-03-10,21,185
2024-03-10,22,171
2024-03-10,23,84
2024-03-11,0,77
2024-03-11,1,38
2024-03-11,2,27
2024-03-11,3,10
2024-03-11,4,22
2024-03-11,5,67
2024-03-11,6,190
2024-03-11,7,370
2024-03-11,8,853
2024-03-11,9,542
2024-03-11,10,366
2024-03-11,11,384
2024-03-11,12,467
2024-03-11,13,519
2024-03-11,14,508
2024-03-11,15,636
2024-03-11,16,914
2024-03-11,17,1405
2024-03-11,18,1165
2024-03-11,19,814
2024-03-11,20,597
2024-03-11,21,430
2024-03-11,22,289
2024-03-11,23,157
2024-03-12,0,86
2024-03-12,1,51
2024-03-12,2,34
